titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Data Science,Incoming Domain,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-science-incoming-domain/aws-iam/rf-d9c61bacc21bc3288f41,Valencia,,Nueva,21.000€ - 30.000€ b/a,2025-07-26
AWS Cloud Engineer Senior,GlobalSysInfo,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/aws-cloud-engineer-senior-globalsysinfo/ec2-s3/rf-937d1fcef21f83981146,Madrid,,AWS,,2025-07-26
DBA Oracle,GlobalSysInfo,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/dba-oracle-globalsysinfo/aws-rds-aurora/rf-b28b164db2c833a2b748,Madrid,,Oracle,,2025-07-26
DBA Senior,GlobalSysInfo,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/dba-senior-globalsysinfo/oracle-aws-rds/rf-58a41f52d2f2137cf243,Madrid,,Oracle,,2025-07-26
[IS] Engineer Cloud AWS AZURE,GlobalSysInfo,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/is-engineer-cloud-aws-azure-globalsysinfo/terraform-cloudformation/rf-e8041b05526a43afb442,Madrid,,AWS,,2025-07-26
[IS] Engineer Unix / Linux,GlobalSysInfo,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/is-engineer-unix-linux-globalsysinfo/redhat-ubuntu/rf-146818677266b325e34f,Madrid,,RedHat,,2025-07-26
Ingeniero/a de Redes,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ingeniero-redes-aubay/aws-zscaler/rf-19281247e21cc324ee41,Barcelona,,AWS,,2025-07-26
Cloud Architect (AWS),Deloitte,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/cloud-architect-aws-deloitte/terraform-ansible/rf-933d10e8d266e37c564e,Bizkaia,,AWS,,2025-07-26
DevOps Engineer con inglés,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/devops-engineer-con-ingles-aubay/aws-terraform/rf-753b1fb2c278938f8a40,Barcelona,,AWS,,2025-07-26
Devops Engineer,Randstad ES,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/devops-engineer-randstad-es/aws-azure/rf-f7ae12a80292e3a24340,Madrid,,AWS,,2025-07-26
IT DevOps Admin Sistemas,PANEL Sistemas Informáticos,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/it-devops-admin-sistemas-panel-sistemas-informatic/aws-kubernetes/rf-d1fb1553126cb3c43146,100% remoto,,AWS,,2025-07-26
