titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Ingeniero/a DevOps Senior,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ingeniero-devops-senior-aubay/kubernetes-docker/rf-293f1e859269630a7c48,Barcelona,,Kubernetes,,2025-07-26
Desarrollador/a Java-Kafka-SpringBatch,Digital Talent Agency,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-java-kafka-springbatch-digital-talen/springboot-sql/rf-ffed194bd2dc23e8f94b,100% remoto,,java,,2025-07-26
Desarrollador (React / Ruby on Rails). Teletrabajo,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-react-ruby-on-rails-teletrabajo-seco/ruby-on-rails-docker/rf-ff941794e25bc3146f42,Madrid,,React,,2025-07-26
Técnico Administrador/a de Sistemas,Digital Talent Agency,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/tecnico-administrador-sistemas-digital-talent-agen/linux-windows/rf-8bd211e15227c333fa46,A Coruña,,linux,,2025-07-26
DevOps Engineer,Serem,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/devops-engineer-serem/aws-azure/rf-3247127252fb83a9be41,Madrid,,AWS,,2025-07-26
Programadores Drupal,Seltime,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programadores-drupal-seltime/css-sass/rf-0feb1088021ee3560b47,100% remoto,,Drupal,27.000€ - 30.000€ b/a,2025-07-26
Engineer DevOps English,GlobalSysInfo,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/engineer-devops-english-globalsysinfo/jenkins-groovy/rf-046e1236b26dd3917c4e,100% remoto,,Jenkins,,2025-07-26
Administrador Linux N2/N3,Serem,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/administrador-linux-n2-n3-serem/terraform-jira/rf-8a7a1411b24cd3e0604c,Madrid,,linux,,2025-07-26
Desarrollador SR Backend Java,PSS,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-sr-backend-java-pss/docker-devops/rf-af5f1589221a93c88a4f,Barcelona,,Java,36.000€ - 42.000€ b/a,2025-07-26
Fullstack Developer,Grupo Sermicro,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/fullstack-developer-remoto/nodejs-typescript-aws-angular-mongodb-docker-ku/rf-6bc8130a3237e339c342,100% remoto,,Nodejs,36.000€ - 48.000€ b/a,2025-07-26
Cloud Architect AWS,Deloitte,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/cloud-architect-aws-deloitte/terraform-ansible/rf-fd8a1900d2f3631da347,Barcelona,,AWS,,2025-07-26
Arqutecto/a DevOps/Cloud,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/arqutecto-devops-cloud-aubay/aws-azure/rf-d0c11fcd22be5306414c,Barcelona,,AWS,,2025-07-26
Test Engineer,Axiom Software Solutions,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/test-engineer-axiom-software-solutions/aws-kubernetes-docker-rest-assured-/rf-f16d1e73c27a83bd5149,London,,AWS,,2025-07-26
Cloud Web Engineer,Axiom Software Solutions,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/cloud-web-engineer-axiom-software-solutions/aws-gcp/rf-1a7d1aaec230a3f97b43,Polonia,,AWS,,2025-07-26
Ingeniero/Arquitecto Infraestructura. Teletrabajo,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ingeniero-arquitecto-infraestructura-teletrabajo-s/aws-kubernetes/rf-14c519c512f5636d684d,Madrid,,AWS,,2025-07-26
Desarrollador fullstack Angular / Java,PANEL Sistemas Informáticos,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-fullstack-angular-java-panel-sistema/spring-boot-hibernate/rf-c4851ad4d2083370ee46,Barcelona,,java,,2025-07-26
