titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Experience Back-End Engineer,Santander,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/experience-back-end-engineer-santander/java-spring/rf-7fd010da02257309ac43,Madrid,,java,,2025-07-26
Consultor/Desarrollador/a CAD/PLM,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/consultor-desarrollador-cad-plm-aubay/3dexperience-java/rf-52781b24b283a359af44,Barcelona,,3DExperience,,2025-07-26
Analista Programador/a Java,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/analista-programador-java-aubay/spring/rf-ac1912f5e21293fd3746,Madrid,,java,,2025-07-26
QA Automatización,Social You,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/qa-automatizacion-social-you/selenium-cucumber/rf-1bdd1193321c5350a04f,Madrid,,selenium,33.000€ - 45.000€ b/a,2025-07-26
Backend Developer (Java/Kotlin),Veepee,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/backend-developer-java-kotlin-veepee/spring/rf-54f310c6d27d4344f848,Barcelona,,java,,2025-07-26
Analista Programador/a Java/J2EE,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/analista-programador-java-j2ee-aubay/spring/rf-0197163182a423caef42,Barcelona,,Java,,2025-07-26
Desarrollador Fullstack Angular Java,Randstad ES,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-fullstack-angular-java-randstad-es/typescript/rf-460f1d2e02ab236c7641,Madrid,,Angular,,2025-07-26
Java Senior Backend Developer,BASF,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/java-senior-backend-developer-basf/spring/rf-f4dc16b2928363b38d4b,Madrid,,java,,2025-07-26
Desarrollador/a Java Microservicios,Segula Technologies,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-java-microservicios-segula-technolog/spring/rf-f4a11e50c21163b35040,100% remoto,,java,,2025-07-26
Referente técnico Java con francés,Sopra Steria,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/referente-tecnico-java-con-frances-sopra-steria/spring/rf-17831b6b52bf53d8ff4b,Barcelona,,java,,2025-07-26
Data Support Analyst,Talan,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-support-analyst-talan/java-sql/rf-026b19acc295e3baf14c,Málaga,,Java,,2025-07-26
UI Architect,Swiss Re,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ui-architect-swiss-re/angular-react/rf-f9f7132b92a5b3a1b748,Madrid,,Angular,,2025-07-26
Senior Java Developer,Talan,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-java-developer-talan/spring/rf-49271fb5926713afa04f,Málaga,,java,,2025-07-26
Técnico de Sistemas,GRUPO SECURITY,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/tecnico-sistemas-grupo-security/java-php/rf-3ae013e6326ea34d114b,Murcia,,Java,,2025-07-26
Desarrollador/a JAVA con INGLÉS,Digital Talent Agency,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-java-con-ingl-s-digital-talent-agenc/springboot/rf-0b111fff225a9339cd47,Barcelona,,java,,2025-07-26
Backend Developer Jasper,PANEL Sistemas Informáticos,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/backend-developer-jasper-panel-sistemas-informatic/java-spring/rf-58261f5ef2d253c20e40,100% remoto,,Java,,2025-07-26
Fullstack (Java/Javascript),Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/fullstack-java-javascript-second-window/java-spring-javascript-html-css-jq/rf-a3b11deb42aaf3ee7544,100% remoto,,Java,,2025-07-26
