titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Programador/a Java Junior,CAS TRAINING,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programador-java-junior-cas-training/html-css/rf-a699141aa23223130f41,Madrid,,Nueva,24.000€ - 27.000€ b/a,2025-07-23
Data Scientist & SAP S/4HANA,Segula Technologies,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-scientist-sap-s-4hana-segula-technologies/python-pytorch/rf-30681f22d2afb3a55b4e,Madrid,,Nueva,,2025-07-23
Programador Big Data. Teletrabajo,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programador-big-data-teletrabajo-second-window/spark-python-sql-ci-cd-powe/rf-054d17b2d2dbe398984d,Madrid,,Actualizada,,2025-07-23
Data Scientist,Akkodis,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-scientist-akkodis/python-pyspark/rf-d1fa1bd0725c337bc74f,Madrid,,Actualizada,,2025-07-23
Desarrollador/a PYTHON,Akkodis,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-python-akkodis/python-sql/rf-e1121a56526bd357c849,Barcelona,,Actualizada,,2025-07-23
Senior Software Engineer,AstraZeneca,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-software-engineer-astrazeneca/typescript-java-python/rf-03891a02b2eb434ab643,Barcelona,,Actualizada,,2025-07-23
Data Developer (Spark y Python),Arelance,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-developer-spark-python-arelance/python-spark-aws-sql-git-jenkins/rf-99631521129ef3a2e646,100% remoto,,Actualizada,27.000€ - 33.000€ b/a,2025-07-23
Ingeniero QA (Automatización),Arelance,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ingeniero-qa-automatizacion-arelance/python-pytest/rf-243d1197320283155443,100% remoto,,Actualizada,33.000€ - 36.000€ b/a,2025-07-23
Desarrollador/a power bi,CAS TRAINING,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-power-bi-cas-training/powerbi-sql/rf-8ae819886273138df94a,Madrid,,Actualizada,24.000€ - 30.000€ b/a,2025-07-23
Programadores Python con Inglés,Seltime,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programadores-python-con-ingles-seltime/aws-power-bi/rf-88ea1cca129ba3965542,100% remoto,,Actualizada,30.000€ - 39.000€ b/a,2025-07-23
Senior DevOps Engineer (Data/AI),AstraZeneca,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-devops-engineer-data-ai-astrazeneca/ci-cd-python/rf-ecbf12619200c3401b43,Barcelona,,Actualizada,,2025-07-23
Data Scientist Expert - SCIB Madrid,Santander,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-scientist-expert-scib-madrid-santander/python-genai/rf-1a2718d732b6f37f6b49,Madrid,,Actualizada,,2025-07-23
Senior Google Cloud GenAI,Devoteam,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-google-cloud-genai-devoteam/langchain-vertex/rf-1f6d1ba722b223fde24f,Madrid,,Actualizada,,2025-07-23
Senior Python Engineer,Accenture,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-python-engineer-accenture/python/rf-027311ca22ac03348c42,Madrid,,Actualizada,,2025-07-23
Senior Data Analyst Marketing,Wallapop,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-data-analyst-marketing-wallapop/python-sql/rf-98b4109e229fe3018e42,Barcelona,,Actualizada,,2025-07-23
Power BI Developer,Talan,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/power-bi-developer-talan/power-bi-python/rf-c56a1b7cd2f9b3460e46,Málaga,,Actualizada,,2025-07-23
