titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Lider técnico,Aubay,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/lider-tecnico-aubay/angular-react/rf-100d1723224e93887f4e,Barcelona,,Angular,,2025-07-26
Desarrollador Frontend React,Arelance,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-frontend-react-arelance/github-figma/rf-e7741c71926c13cec648,100% remoto,,React,,2025-07-26
React Native Middle - Promofarma,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/react-native-middle-promofarma-second-window/react-native/rf-601b1793a2abc3b3a64d,Madrid,,React,,2025-07-26
Desarrollador/a Frontend React,Sopra Steria,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-frontend-react-sopra-steria/redux/rf-b39319f3c2f7e3899c48,Madrid,,react,,2025-07-26
Tech Lead - Frontend Software Architect,Nestle,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/tech-lead-frontend-software-architect-nestle/html-css/rf-84e11aa582e783faf148,Barcelona,,HTML,,2025-07-26
UI Architect,Swiss Re,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ui-architect-swiss-re/angular-react/rf-f9f7132b92a5b3a1b748,Madrid,,Angular,,2025-07-26
Desarrollador/o ó AP Senior Java,Digital Talent Agency,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-o-o-ap-senior-java-digital-talent-ag/spring-html/rf-07c31a86e2f8a3d68442,A Coruña,,java,,2025-07-26
Desarrollador (React / Ruby on Rails). Teletrabajo,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-react-ruby-on-rails-teletrabajo-seco/ruby-on-rails-docker/rf-ff941794e25bc3146f42,Madrid,,React,,2025-07-26
FullStack Senior (React) con Ingles,PSS,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/fullstack-senior-react-con-ingles-pss/java-net/rf-cc5b153a6213036cca4d,Barcelona,,React,,2025-07-26
Analista Programador Java Senior,Serem,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/analista-programador-java-senior-serem/sql-javascript/rf-913512df927c83c6894a,Madrid,,java,,2025-07-26
