titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Programador Datastage,Page Personnel,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programador-datastage-page-personnel/etl-ibm-datastage/rf-a1e21b4ce2b0a35e2d4e,Madrid,,ETL,42.000€ - 45.000€ b/a,2025-07-26
Data Engineer (Big Data),Sopra Steria,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-engineer-big-data-sopra-steria/spark-sql/rf-712e107b321813fab44c,Madrid,,Spark,,2025-07-26
Senior Data Analyst Marketing,Wallapop,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-data-analyst-marketing-wallapop/python-sql/rf-98b4109e229fe3018e42,Barcelona,,Python,,2025-07-26
Configuration Specialist,Supply Chain Company SL,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/configuration-specialist-supply-chain-company/javascript-python/rf-8e0910af424693583245,Málaga,,JavaScript,30.000€ - 45.000€ b/a,2025-07-26
Administrador de sistemas y bbdd,Social You,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/administrador-sistemas-bbdd-social-you/db2-linux/rf-3ce31a95d238d3e39e49,100% remoto,,DB2,36.000€ - 45.000€ b/a,2025-07-26
Software QA Engineer,FutuRS,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/software-qa-engineer-futurs/sql-jmeter-postman/rf-dbf5160be2edd3045e4e,Alicante,,SQL,,2025-07-26
Implant técnico con SQL,FutuRS,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/implant-tecnico-con-sql-futurs/sql/rf-59581941f28b33866543,100% remoto,,SQL,,2025-07-26
Junior Data Engineer,Deloitte,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/junior-data-engineer-deloitte/etl-python/rf-83e01f3ac24f735ea74c,Madrid,,ETL,,2025-07-26
Data Analyst - SSIS,Arelance,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-analyst-ssis-arelance/sql-etl/rf-26021dfd92289368e740,100% remoto,,SQL,27.000€ - 39.000€ b/a,2025-07-26
DATA ANALYST - Automoción,Segula Technologies,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-analyst-automocion-segula-technologies/sql-bigquery/rf-afc41034026263b8be4e,Valladolid,,SQL,,2025-07-26
Data Engineer 100% (w/m/d),Julius Baer,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-engineer-100-w-m-d-julius-baer/oracle-sql/rf-dd001b5e2281d3cf2c41,Madrid,,Oracle,,2025-07-26
Software Engineer,Randstad ES,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/software-engineer-randstad-es/sql-pl-sql/rf-b26e172652bd3339c942,Madrid,,SQL,,2025-07-26
Data Engineer - Python y APIs,Sopra Steria,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-engineer-python-apis-sopra-steria/pyspark-sql/rf-bf2c1a5ff289b3e83b4c,Madrid,,Python,,2025-07-26
Data Support Analyst,Talan,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-support-analyst-talan/java-sql/rf-026b19acc295e3baf14c,Málaga,,Java,,2025-07-26
PostgreSQL Developer,Axiom Software Solutions,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/postgresql-developer-axiom-software-solutions/sql-oracle-data-postgresql-d/rf-70a010f592dcc3f71943,Barcelona,,sql,45.000€ - 54.000€ b/a,2025-07-26
Ingeniero QA (Automatización),Arelance,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ingeniero-qa-automatizacion-arelance/python-pytest/rf-243d1197320283155443,100% remoto,,qa,33.000€ - 36.000€ b/a,2025-07-26
Programador Big Data. Teletrabajo,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programador-big-data-teletrabajo-second-window/spark-python-sql-ci-cd-powe/rf-054d17b2d2dbe398984d,Madrid,,SPARK,,2025-07-26
Analista - Tester de Software Junior,Digital Talent Agency,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/analista-tester-software-junior-digital-talent-age/qa-sql-server/rf-5a4e1715c240b3396a4c,Pontevedra,,qa,,2025-07-26
Business Analyst. Banking Data Area,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/business-analyst-banking-data-area-second-window/jira-sql/rf-dcf414e9c252c3455746,100% remoto,,Jira,,2025-07-26
Desarrollador .NET Senior,SmartWay VP,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-net-senior-smartway-vp/net-c/rf-370812b2e210737a6447,Barcelona,,.NET,42.000€ - 48.000€ b/a,2025-07-26
Desarrollador/a Java-Kafka-SpringBatch,Digital Talent Agency,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-java-kafka-springbatch-digital-talen/springboot-sql/rf-ffed194bd2dc23e8f94b,100% remoto,,java,,2025-07-26
Data Engineer (Scala/Spark),Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-engineer-scala-spark-second-window/spark-scala-sql-git-jenkins/rf-b21e1654029e33814a40,100% remoto,,Spark,,2025-07-26
Backend .NET,Social You,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/backend-net-social-you/net-tfs-git-ci-cd-sql-ddd-net-core-minimal-api/rf-464a128632240355ec42,Barcelona,,.NET,39.000€ - 45.000€ b/a,2025-07-26
Analista Programador Java Senior,Serem,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/analista-programador-java-senior-serem/sql-javascript/rf-913512df927c83c6894a,Madrid,,java,,2025-07-26
Analista Programador/a PL/SQL,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/analista-programador-pl-sql-second-window/pl-sql-oracle/rf-ac41169fa204d3e8c540,Madrid,,PL/SQL,,2025-07-26
Programador/a Java Websphere,Digital Talent Agency,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programador-java-websphere-digital-talent-agency/j2ee-jsf/rf-44ba1364129643517243,100% remoto,,java,,2025-07-26
